"industry_sector","total_loans","defaulted_loans","default_rate_percent"
"52","6446","1770","27.46"
"53","8994","2423","26.94"
"48","13472","3607","26.77"
"51","7431","1954","26.3"
"56","22109","5214","23.58"
"49","1485","349","23.5"
"23","43417","10095","23.25"
"45","29272","6773","23.14"
"61","4386","1009","23.01"
"44","58225","12902","22.16"
"72","46783","9793","20.93"
"42","31233","6356","20.35"
"71","9532","1905","19.99"
"31","7439","1454","19.55"
"81","51900","9913","19.1"
"54","43410","8281","19.08"
"32","10848","1838","16.94"
"33","23068","3287","14.25"
"62","33471","3778","11.29"
"0","128294","11740","9.15"
"21","1078","96","8.91"
"11","6795","567","8.34"
