"state","total_loans","defaulted_loans","default_rate_percent"
"DC","1164","332","28.52"
"FL","28064","7029","25.05"
"GA","14847","3376","22.74"
"NV","6022","1343","22.3"
"MD","8769","1908","21.76"
"IL","19400","4219","21.75"
"NY","42103","8540","20.28"
"WV","2238","452","20.2"
"MI","11653","2351","20.18"
"TX","55973","11147","19.91"
"SC","3946","777","19.69"
"LA","6527","1186","18.17"
"CA","107123","19361","18.07"
"VA","9081","1638","18.04"
"TN","6706","1195","17.82"
"AZ","13153","2306","17.53"
"AR","4455","778","17.46"
"HI","2694","464","17.22"
"CO","15099","2599","17.21"
"NC","11034","1841","16.68"
